Date,MonthNo,MonthName,MonthID,Month,Quarter,Year,RunningMonths,Running Year,Running Months,Rolling Period,Rolling Period Sort,MonthIndex,Months
1999-07-01 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-02 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-03 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-04 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-05 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-06 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-07 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-08 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-09 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-10 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-11 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-12 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-13 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-14 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-15 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-16 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-17 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-18 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-19 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-20 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-21 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-22 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-23 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-24 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-25 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-26 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-27 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-28 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-29 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-30 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
1999-07-31 00:00:00.000,7,"Jul",199907,"Jul-99","Q3",1999,186,16,"","",,7,"Jul"
2000-07-01 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-02 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-03 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-04 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-05 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-06 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-07 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-08 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-09 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-10 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-11 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-12 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
2000-07-13 00:00:00.000,7,"Jul",200007,"Jul-00","Q3",2000,174,15,"","",,19,"Jul"
